Time	ACE	 ALA 	 FOR 	 PYR 	 ETOH 	 GLC 	 LAC 
134.5	0.734009862053108	1.01821181513218	0.309345917572026	1.10924511988855	0.52088344304321	0.793881068864072	2.27199415606967
136.25	0.734270400595271	1.02433233499308	0.301924174811	1.1117938346902	0.530372066269262	0.964448791389603	2.30601961741495
138	0.731699405217322	1.02497736601858	0.306797223070103	1.10834869938966	0.530861944835566	0.804914109767236	2.33638250736597
139.75	0.737616297860931	1.03459960998253	0.301426910888338	1.1146082279654	0.541430124834856	1.01568743183024	2.37613054512088
141.5	0.735582176039139	1.03937937585978	0.303033957317561	1.11510445003358	0.546350946743791	0.953412518478587	2.40938924908437
143.25	0.733667581304617	1.04066077200221	0.309556119593568	1.11202333639514	0.545218372939769	0.82069312068002	2.43974619894841
145	0.734717948642844	1.04820604546806	0.306754710775945	1.11445576930092	0.554131703519906	0.869163732153583	2.47192766060439
146.75	0.736078257998625	1.05171933451902	0.306278354658814	1.11605464008812	0.558560050478472	0.842301524232482	2.50341190254286
148.5	0.731974528537384	1.0530347080453	0.305867114884633	1.11438939071131	0.558658929833411	0.768853868778601	2.53184404613047
150.25	0.733073564448824	1.05580021636599	0.305997598885987	1.11284906311612	0.562604547770961	0.723847537714181	2.56112035923521
152	0.733484851177729	1.06151082923394	0.308006289527264	1.11628400108626	0.570017973463952	0.76723284993271	2.5913353561494
153.75	0.730575994513657	1.06149621138875	0.31233476192538	1.1126724781288	0.567854350578158	0.609094717557708	2.61670161487222
155.5	0.73250350069047	1.06596089653505	0.308910315888954	1.1160212023197	0.574031908242255	0.639556530088694	2.64603605112033
157.25	0.731740270027453	1.06775806271368	0.30295129852591	1.11463094827341	0.577169305487513	0.615547132868512	2.67376222771014
159	0.73149120255766	1.07365388013329	0.309252092071997	1.11476202328136	0.582728918031522	0.581600536967252	2.70682787024779
160.75	0.733817166214541	1.07893069853007	0.304407573977096	1.11798582227752	0.592455877916328	0.627469562861685	2.7376213921553
162.5	0.731331671386449	1.08113734685106	0.309258700021707	1.11623382776281	0.592652908276706	0.52567126803972	2.76757141782492
164.25	0.732018941436544	1.08706253184138	0.3083067999936	1.11723103439098	0.60020308799696	0.520419534154429	2.79770491722677
166	0.735551817290246	1.09285068752924	0.306874714930078	1.11982951319865	0.606872357193432	0.628350571110124	2.82886974552718
167.75	0.730680066968373	1.09081310966116	0.311012122153153	1.11549338099842	0.605191856754312	0.406396544963019	2.85107106206089
169.5	0.729935179767886	1.09216059945936	0.314901069481463	1.11458034911584	0.606211782333679	0.341013750410565	2.87591466923773
171.25	0.73299516940863	1.10007814303307	0.304894134778281	1.11797060703978	0.615834448927629	0.473054942907828	2.90525788567433
173	0.730829206187408	1.10113211200988	0.305659362271936	1.11484473411562	0.617460468373346	0.404256161052005	2.92713343161822
174.75	0.725634932538831	1.09797878901634	0.312145485015378	1.11169824902931	0.616485471794201	0.198328429873609	2.9455233767804
176.5	0.732078038819961	1.10677313693477	0.310302712587028	1.11483264735498	0.627475669392219	0.337586276680929	2.977562044514
178.25	0.728709469390983	1.10705897052578	0.310917589698567	1.1136520131454	0.62918527057283	0.214228080902614	3.00409576676283
180	0.728430344749059	1.10979780969582	0.32049310756962	1.11380594024578	0.638414407468221	0.210104866361421	3.03337239348129
181.75	0.732506230680976	1.1182614341848	0.305874035620474	1.11882024973993	0.646343964117668	0.368254120879964	3.0633996230482
183.5	0.729634463143822	1.11991808686679	0.305271484050321	1.11598062041999	0.646728184024192	0.236623842739719	3.08690221008836
185.25	0.726667690811541	1.11988792743534	0.313654088940497	1.11308469828897	0.650071111412977	0.134338135533986	3.1091259414501
187	0.728462902058734	1.12386648969591	0.311820829757777	1.11418156788566	0.655873438070442	0.205729472637909	3.13352588830627
188.75	0.727596846861146	1.1252684249375	0.311789398457377	1.11332266098735	0.661598862451553	0.186737370733981	3.15514557387534
190.5	0.724747314272264	1.12574000235034	0.315839915077582	1.10985104191231	0.658496200411339	0.0609679763120658	3.17518172412727
192.25	0.726875739968114	1.12898301683647	0.313803312949776	1.11163494125628	0.665829841729475	0.09063114873142	3.19703083789937
194	0.728192191690635	1.13157086607231	0.309653618356193	1.11011975414566	0.671969393659254	0.12842071289524	3.22014083949851
195.75	0.724112109948085	1.13122766270005	0.317761342604662	1.10854191499797	0.672988289080168	-0.0348491879654716	3.23829797182819
197.5	0.726912762072934	1.13769286805206	0.308537549277563	1.11150407124049	0.681782374132112	0.154342181216701	3.26702561824676
199.25	0.725767911307051	1.14120940261178	0.311160961572739	1.10981403201222	0.688674584889187	0.139863466609959	3.29190032252227
201	0.725796234778895	1.14464785072872	0.312672550539942	1.11235055927036	0.696184401205045	0.150654641200738	3.31839828770786
202.75	0.723608308385546	1.14500364247156	0.310379041027377	1.10693341881842	0.700186814301804	0.0719089059035402	3.33922477812264
204.5	0.72200857611241	1.14555064506042	0.315278413827357	1.10291606082317	0.700902598318958	-0.0318564632833976	3.35866612382725
206.25	0.72194272283239	1.14637755730406	0.31513881382895	1.10149805530079	0.705554879594545	-0.0310284556363792	3.37669669443498
208	0.724146487394259	1.15409607678987	0.311282699345332	1.10658087465391	0.713430903895854	0.108510877769235	3.3996961989828
209.75	0.718679272565724	1.14833918333891	0.319810513263938	1.09987709671269	0.709984098573602	-0.116669097460131	3.41426088509224
211.5	0.722563595020297	1.15585125825934	0.312151257240794	1.10153712158745	0.71863348586554	0.0266250413292991	3.43346070493757
213.25	0.722148519270886	1.15610914105713	0.313377448380646	1.09884771292483	0.722991745569263	0.040997491883109	3.45159250279904
215	0.718891351470784	1.15712508892462	0.315090588655908	1.09453605366375	0.726097982064196	-0.0704895444833191	3.46674856181545
216.75	0.722264100147718	1.15971798014584	0.312067414113132	1.09742782742347	0.733877429972767	0.115464022869144	3.487686925856
218.5	0.718665489216288	1.15770601886514	0.315514021506293	1.0883617497047	0.733024303294155	-0.090769444100988	3.50033761409978
220.25	0.71485571619284	1.15808513549208	0.319944334806901	1.08434109521346	0.736778232639742	-0.154502705008561	3.51526536464471
222	0.721237446945879	1.16706227808868	0.308221821474433	1.08990320835486	0.750920925954308	0.0990396537638203	3.54009922913827
223.75	0.717535143778011	1.16198142131118	0.318118420245032	1.08332356114993	0.751565485151899	-0.0974318443576449	3.55746855464202
225.5	0.721037278737085	1.17115979277233	0.311622755418965	1.08927925689592	0.764981743089477	0.121198823044762	3.58277540983205
227.25	0.717913322758383	1.17352099351695	0.312945479483345	1.08441088231007	0.769639403039258	0.10337462573004	3.60262445882775
229	0.712515181646897	1.17025355835266	0.321957845091953	1.0788792482715	0.766399849373122	-0.153392309346754	3.61263490303404
230.75	0.717052502471812	1.17720717293758	0.312438148327999	1.08184673958989	0.777983594480891	0.10209776595768	3.63004654748108
232.5	0.712677751325952	1.17574519034152	0.318103298733023	1.07648909903272	0.779428258524433	-0.000952320315758674	3.64195043807811
234.25	0.709295664399474	1.17461667735052	0.320768530098022	1.07061033327083	0.780812947585164	-0.10885819785277	3.65118922820207
236	0.715604594538744	1.17888483304365	0.313202430915927	1.07307105470433	0.789563891253095	0.0444502928429154	3.66650834074086
237.75	0.710279644434675	1.17629733871778	0.321502491642808	1.0668451822546	0.791766224977332	-0.148845243804031	3.67495367786147
239.5	0.709334089538386	1.18042187649265	0.31663464724459	1.06486833118612	0.79685981200854	-0.0330118058261329	3.68831682252694
241.25	0.708516717767263	1.17945594203596	0.318933183276565	1.06239658987718	0.800603603059481	-0.112770419024633	3.69768890962106
243	0.706871387030901	1.1810742657986	0.321550505895553	1.05989294229378	0.803723172998704	-0.0835590689224062	3.71109394125424
244.75	0.708308908887583	1.18793447671533	0.314093948486539	1.06172704727807	0.815345112183263	0.0825181006728438	3.73198955572609
246.5	0.703433021950812	1.18681725590709	0.320222630604949	1.05544750250802	0.819087821921733	-0.0503285006207942	3.74389785291412
248.25	0.703648001965806	1.1883011863287	0.318143685717176	1.05396465534574	0.827151491867299	-0.102459698473338	3.75955889722472
250	0.704432838978022	1.19224556148125	0.313972158856033	1.05387532600275	0.83461182441957	0.0279498278663426	3.774889132089
251.75	0.704589812750963	1.19146441215516	0.32214823516721	1.05188334702579	0.838938961108124	-0.0410666560097459	3.78556721730906
253.5	0.700204096657787	1.1904370059636	0.321445554700547	1.0450384909871	0.839765997491757	-0.0790233585664518	3.79181492011203
255.25	0.704108077520377	1.19565106336888	0.315990680064048	1.04612007353145	0.849674793433334	0.098899148128537	3.80261140820518
257	0.699422833387836	1.19362274209808	0.320255108633832	1.04017134473803	0.849183245787128	-0.0350807039083444	3.81007544743696
258.75	0.698186732708008	1.19296914616828	0.321912350515394	1.03297249026339	0.851061486466314	-0.164921454847677	3.81773040343974
260.5	0.698984731918641	1.19690579112636	0.322002408654816	1.03385114306445	0.85735697211061	-0.0455365162465577	3.82913654030042
262.25	0.701546974604072	1.19838163809347	0.318180212189231	1.0346621052096	0.866352631753058	0.103753265109465	3.83927663474928
264	0.698846194604535	1.20083122721356	0.318603240314572	1.02984037979407	0.870429607342307	0.0253859523582684	3.85065801503303
265.75	0.699592234149653	1.20402861024567	0.313582040408763	1.02870204115256	0.882087492007744	0.13612973641071	3.86594738629242
267.5	0.698932366626464	1.20497644070631	0.317697342324467	1.02724574326138	0.887706462176454	0.119105981110204	3.87982774050799
269.25	0.694690225297431	1.20330547325936	0.32035773811563	1.02062964524853	0.888281338345186	-0.063349168540598	3.88885221925063
271	0.695225106224309	1.20687748972958	0.320981100260238	1.01629121233613	0.895893934604922	-0.0579160034141226	3.8991272942624
272.75	0.700162832032533	1.21101445448413	0.313865542648917	1.01836357897468	0.90273169359241	0.167312994749923	3.91017099033416
274.5	0.693359247563813	1.2086905618247	0.319059385306991	1.01099316397421	0.902718428646694	-0.0181392934022912	3.91338524290112
276.25	0.69450254236887	1.20990097489615	0.316897944283576	1.00926690128482	0.909104731512823	0.0387134692974966	3.92233544076819
