Time	ACE	BPG	CO2	ETOH	F6P	F16P	F26BP	G6P	GLCi	GLCo	GLY	Glyc	NAD	NADH	P2G	P3G	P	PEP	PYR	SUCC	SUM_P	Trh	TRIO
0.032	0.012836122119993	0.000279263656854886	3.17896025301624	52.3177083641264	0.314188606922713	4.91995227104231	0.02	2.316116178699	0.102803038603554	47.1810533399093	1.66519985373368	0.192000000000001	0.974543752962401	0.615456247037599	0.0374687750425914	0.302899266977717	6.27137737669536	0.0569750328826994	4.39415822316711	0.0092078833848633	4.1	0.0768000000000003	2.38863246116951
0.033	0.0129319500930717	0.000279021325766552	3.26765539372841	52.405756244667	0.312503937536523	4.92059154825847	0.02	2.30653574061705	0.103093031111765	47.0933092526699	1.70950393836174	0.198000000000001	0.975620807239038	0.614379192760962	0.0375882742237439	0.303914414145848	6.26266139624472	0.0570508227432803	4.43470065117063	0.00948359948407435	4.1	0.0792000000000003	2.38844046391315
0.034	0.0130290144969245	0.00027896609664963	3.35710202315479	52.4945502493286	0.310892795104456	4.92110251443625	0.02	2.29695469685319	0.103358048103069	47.0055873824994	1.7535669968855	0.204000000000001	0.976816216699448	0.613183783300552	0.0377188312518998	0.305008749160276	6.25484777338567	0.0571516567723741	4.4747566640851	0.00976137966456518	4.1	0.0816000000000003	2.3882252386008
0.035	0.0131272486959603	0.000279087553356503	3.44728434284879	52.5840745948619	0.309356715582366	4.92146448790587	0.02	2.28739649633081	0.103597157435478	46.9178861063937	1.79739180491757	0.210000000000001	0.978120763466533	0.611879236533468	0.037858931367377	0.306170395322171	6.24794201831899	0.0572755936668994	4.51435353661828	0.0100412496454002	4.1	0.0840000000000003	2.38798438040904
0.036	0.0132266005320903	0.000279376716795502	3.53818728493483	52.6743142166463	0.307896790929171	4.92165820597542	0.02	2.27788386262515	0.10380964192951	46.8302037505212	1.84098109123247	0.216000000000001	0.979526497479668	0.610473502520333	0.0380073014673977	0.307389380834851	6.24194518035361	0.0574209811198971	4.55351478369114	0.0103232338781271	4.1	0.0864000000000003	2.38771529604178
0.037	0.0133270303404159	0.000279825835650747	3.62979643014921	52.7652546881385	0.306513761065916	4.92166574449315	0.02	2.26843870950311	0.103994976579899	46.7425386031368	1.88433753054337	0.222000000000001	0.981026551399211	0.608973448600789	0.0381628697101486	0.308657319115997	6.23685452187555	0.0575864108651068	4.59226074410159	0.0106073558350518	4.1	0.0888000000000003	2.38741528012119
0.038	0.013428509269889	0.000280428212985014	3.72209793873496	52.8568821529487	0.305208088207987	4.92147044396514	0.02	2.25908208079952	0.104152808769701	46.6548889260883	1.92746373799482	0.228000000000001	0.982614983258542	0.607385016741459	0.0383247322945923	0.30996714603259	6.2326640890159	0.0577706812146407	4.63060906642098	0.0108936382581224	4.1	0.0912000000000004	2.38708157343316
0.039	0.0135310178655373	0.000281178059860585	3.81507849186066	52.9491832672455	0.303980017143843	4.92105684075298	0.02	2.2498341099954	0.104282940811758	46.5672529651066	1.97036226504424	0.234000000000001	0.984286642823032	0.605713357176969	0.0384921260501121	0.311312902988667	6.22936519558326	0.0579727660475838	4.66857511433573	0.011182103374744	4.1	0.0936000000000004	2.38671140799196
0.04	0.0136345448670771	0.000282070374886564	3.90872524178349	53.042145150745	0.302829623568259	4.9204106031479	0.02	2.24071399556064	0.104385314552678	46.4796289590274	2.01303559647819	0.240000000000001	0.986037057972957	0.603962942027044	0.0386644057981889	0.312689557805227	6.22694683415044	0.0581917889594269	4.70617230527225	0.0114727730856357	4.1	0.0960000000000004	2.3863020418147
0.041	0.0137390861935433	0.000283100842661223	4.00302576926387	53.1357553448121	0.301756852750186	4.91951847169356	0.02	2.23173998892521	0.104459997655674	46.3920151480699	2.05548614835465	0.246000000000001	0.987862338142827	0.602137661857174	0.0388410256158374	0.314092856483933	6.22539602577177	0.0584270017242777	4.74341239370645	0.0117656691290261	4.1	0.0984000000000004	2.38585078581929
