Time	GLC	G6P	F6P	FBP
60	3.4556389	2.369071393	0.098389682	0.262674242
60.66666667	3.45952829	2.388849258	0.104749174	0.318815249
61.33333333	3.444787156	2.417270067	0.111139557	0.271718032
62	3.399506469	2.405925283	0.108567892	0.251108968
62.66666667	3.398860932	2.439797112	0.10751044	0.290019771
63.33333333	3.3837616	2.433896861	0.115630355	0.275460351
64	3.366424287	2.456846382	0.101780263	0.286532416
64.66666667	3.331352494	2.439556646	0.106581902	0.310657686
65.33333333	3.335855815	2.474753709	0.105975941	0.316614666
66	3.301563792	2.479423539	0.112752761	0.295249499
66.66666667	3.314003035	2.48705695	0.097942728	0.335043129
67.33333333	3.318301253	2.509850837	0.107350681	0.299001802
68	3.260245537	2.534353799	0.122801054	0.335374345
68.66666667	3.243978937	2.497516335	0.115069452	0.306465695
69.33333333	3.243823535	2.531609305	0.112004228	0.374349685
70	3.25159544	2.549408782	0.101952381	0.30517143
70.66666667	3.20231572	2.547230705	0.111446446	0.317369525
71.33333333	3.166722434	2.566761094	0.112321852	0.347488523
72	3.170193381	2.537897369	0.112145865	0.298866138
72.66666667	3.123103703	2.564444399	0.114465452	0.314094962
73.33333333	3.115836063	2.558193745	0.103068983	0.368777396
74	3.12410781	2.598236385	0.11548361	0.37920708
74.66666667	3.107658276	2.62978744	0.114603389	0.432143226
75.33333333	3.103046848	2.587167701	0.110632142	0.380106634
76	3.047830895	2.584479469	0.127562588	0.403613695
76.66666667	3.088263304	2.631217188	0.111556921	0.42902019
77.33333333	3.092045774	2.64189961	0.121754638	0.429245042
78	3.025227343	2.646286151	0.109795377	0.3718581
78.66666667	3.034875672	2.655524242	0.118591301	0.443141311
79.33333333	2.954526074	2.647433046	0.117971267	0.426776761
80	2.935313601	2.618990855	0.104495551	0.407738029
80.66666667	2.910900468	2.622388891	0.113944887	0.377229569
81.33333333	2.95773732	2.698772583	0.120467852	0.411849529
82	2.991945517	2.75084525	0.127959318	0.439626614
82.66666667	2.99297477	2.781852563	0.118454206	0.494879272
